ts_code,name,industry,industry_l1,industry_l2,area,close,pct_chg,pe,pb,total_mv,revenue,gross_profit,gpr,net_profit,npm,list_date,ytd_2024,ytd_2025,ytd_2026
600808.SH,马钢股份,普钢,钢铁,普钢,安徽,3.78,-0.26,-10.43,-3.08,291.1,775.25,41.16,5.31,,,1994-01-06,6.81,0.34,-27.67
301345.SZ,涛涛车业,摩托车及其他,汽车,摩托车及其他,浙江,267.0,-1.58,6.88,-1.11,291.03,39.41,16.35,41.48,8.16,20.71,2023-03-21,283.45,263.78,-17.09
300342.SZ,天银机电,家电零部件Ⅱ,家用电器,家电零部件Ⅱ,江苏,68.4,5.25,106.46,0.81,290.7,8.21,2.03,24.76,0.13,1.88,2012-07-26,229.05,210.76,46.85
688270.SH,ST臻镭,半导体,电子,半导体,浙江,135.61,0.86,11.09,4.18,290.21,4.32,3.28,75.88,1.33,30.8,2022-01-27,119.09,213.31,-15.53
002603.SZ,以岭药业,中药Ⅱ,医药生物,中药Ⅱ,河北,17.33,1.05,1.52,1.82,289.58,78.31,50.33,64.28,12.86,16.37,2011-07-28,-29.6,4.31,-9.11
603516.SH,淳中科技,计算机设备,计算机,计算机设备,北京,142.61,-0.27,-36.19,-0.74,289.5,3.29,1.57,47.71,2.8,84.71,2018-02-02,397.57,114.29,-50.91
300085.SZ,银之杰,软件开发,计算机,软件开发,深圳,40.93,-0.37,2.10,16.21,289.38,7.58,2.29,30.21,,,2010-05-26,199.71,13.35,0.51
000034.SZ,神州数码,IT服务Ⅱ,计算机,IT服务Ⅱ,深圳,40.02,-3.33,2.85,5.34,289.34,1437.51,48.84,3.4,5.23,0.39,1994-05-09,27.23,10.93,-8.27
603127.SH,昭衍新药,医疗服务,医药生物,医疗服务,北京,38.61,-1.93,10.28,-3.35,289.19,16.58,3.43,20.71,2.98,17.97,2017-08-25,47.38,95.46,-12.85
603881.SH,数据港,通信服务,通信,通信服务,上海,40.2,1.64,32.11,9.81,288.64,17.21,6.46,37.56,1.39,8.06,2017-02-08,187.38,110.9,13.4
600153.SH,建发股份,物流,交通运输,物流,福建,9.95,-0.2,9.94,4.74,288.55,6712.7,373.48,5.56,,,1998-06-16,24.75,8.64,7.93
603338.SH,浙江鼎力,工程机械,机械设备,工程机械,浙江,56.9,0.65,0.46,-0.21,287.91,85.75,29.38,34.26,18.99,22.15,2015-03-25,2.45,-18.81,-11.42
300762.SZ,上海瀚讯,军工电子Ⅱ,国防军工,军工电子Ⅱ,上海,45.83,-0.13,9.96,19.54,287.81,5.03,1.66,33.01,,,2019-03-14,119.05,57.15,-25.29
300236.SZ,上海新阳,电子化学品Ⅱ,电子,电子化学品Ⅱ,上海,91.8,-4.16,43.98,0.98,287.33,19.37,7.94,41.0,3.01,15.54,2011-06-29,164.18,156.06,26.95
603833.SH,欧派家居,家居用品,轻工制造,家居用品,广东,47.15,1.4,-7.29,1.59,287.14,172.32,62.44,36.24,19.97,11.61,2017-03-28,-35.0,-39.13,-23.43
000158.SZ,常山北明,IT服务Ⅱ,计算机,IT服务Ⅱ,河北,17.93,0.9,-12.06,2.46,286.7,75.38,10.56,14.0,0.33,0.4,2000-07-24,87.5,-20.26,-23.08
000737.SZ,北方铜业,工业金属,有色金属,工业金属,山西,15.05,0.74,-2.21,11.81,286.7,279.16,28.7,10.28,7.91,2.83,1997-04-28,145.52,86.27,-10.16
603444.SH,吉比特,游戏Ⅱ,传媒,游戏Ⅱ,福建,398.01,-0.23,-6.10,-4.55,286.57,62.05,58.26,93.9,17.94,34.58,2017-01-04,61.27,82.94,-20.44
603876.SH,鼎胜新材,工业金属,有色金属,工业金属,江苏,30.82,-1.6,105.33,12.65,286.32,263.03,23.73,9.02,5.13,1.95,2018-04-18,134.03,228.19,86.57
601000.SH,唐山港,航运港口,交通运输,航运港口,河北,4.83,1.9,25.78,-1.23,286.23,56.84,27.62,48.6,19.98,38.35,2010-07-05,42.57,5.37,18.36
688502.SH,茂莱光学,光学光电子,电子,光学光电子,江苏,539.85,-1.98,35.28,17.01,286.12,6.91,3.23,46.71,0.46,6.7,2023-03-09,104.22,124.74,7.07
603667.SH,五洲新春,通用设备,机械设备,通用设备,浙江,78.17,10.01,11.70,23.94,286.1,33.43,6.03,18.05,0.91,3.01,2016-10-25,205.04,174.42,-7.91
600166.SH,福田汽车,商用车,汽车,商用车,北京,3.61,-1.9,23.63,-0.82,285.8,612.47,61.07,9.97,13.64,2.1,1998-06-02,10.78,23.14,3.47
300811.SZ,铂科新材,金属新材料,有色金属,金属新材料,深圳,98.36,-2.9,37.93,8.83,285.24,18.02,7.58,42.06,4.18,23.64,2019-12-30,222.94,122.41,54.57
600909.SH,华安证券,证券Ⅱ,非银金融,证券Ⅱ,安徽,5.67,-0.18,-16.37,0.00,284.86,50.68,,,21.08,41.65,2016-12-06,58.9,29.34,4.63
300277.SZ,汽轮科技,IT服务Ⅱ,计算机,IT服务Ⅱ,浙江,18.75,-1.21,43.68,4.40,284.44,1.96,0.5,25.8,0.02,3.55,2011-11-23,82.21,44.94,20.32
000513.SZ,丽珠集团,化学制药,医药生物,化学制药,广东,32.03,-0.87,-7.05,-1.96,284.43,120.2,79.21,65.9,20.23,20.06,1993-10-28,-5.66,-14.22,-12.09
601608.SH,中信重工,专用设备,机械设备,专用设备,河南,6.2,1.47,-5.92,3.16,283.96,81.07,14.73,18.17,3.75,4.52,2012-07-06,44.8,37.68,-15.53
688001.SH,华兴源创,通用设备,机械设备,通用设备,江苏,63.9,12.38,111.73,8.56,283.72,22.4,10.37,46.32,0.8,3.58,2019-07-22,101.73,165.12,126.52
600161.SH,天坛生物,生物制品,医药生物,生物制品,北京,14.35,1.49,-12.18,-0.07,283.7,61.68,27.05,43.85,10.91,24.15,1998-06-16,-47.0,-32.55,-19.15
600550.SH,保变电气,电网设备,电力设备,电网设备,河北,15.4,-2.41,45.97,2.46,283.67,57.08,8.76,15.34,1.97,3.87,2001-02-28,181.47,80.42,27.37
603067.SH,振华股份,化学原料,基础化工,化学原料,湖北,39.85,-2.09,38.32,12.00,283.33,45.36,12.21,26.92,6.59,14.47,2016-09-13,389.55,306.62,10.82
601606.SH,长城军工,地面兵装Ⅱ,国防军工,地面兵装Ⅱ,安徽,39.07,0.72,-18.81,5.91,282.87,15.64,4.02,25.73,0.08,0.56,2018-08-06,176.89,200.96,-30.57
002065.SZ,东华软件,IT服务Ⅱ,计算机,IT服务Ⅱ,北京,8.8,2.21,-3.83,8.11,282.04,129.28,26.86,20.78,4.77,4.27,2006-08-23,27.12,11.7,-17.94
688627.SH,精智达,通用设备,机械设备,通用设备,深圳,300.0,-1.06,34.17,3.99,282.0,11.28,4.14,36.73,0.65,6.21,2023-07-18,317.66,404.21,49.66
688166.SH,博瑞医药,化学制药,医药生物,化学制药,江苏,66.64,-2.8,35.83,10.73,281.89,12.24,6.22,50.83,0.55,3.02,2019-11-08,58.59,73.0,-2.71
603530.SH,神马电力,电网设备,电力设备,电网设备,江苏,65.25,1.46,58.84,7.89,281.88,17.21,7.95,46.18,4.32,25.09,2019-08-05,167.7,153.83,44.55
600583.SH,海油工程,油服工程,石油石化,油服工程,天津,6.37,-0.16,16.03,-5.63,281.62,271.63,37.62,13.85,20.84,7.77,2002-02-05,-1.07,11.07,3.06
600483.SH,福能股份,电力,公用事业,电力,福建,10.12,0.0,6.86,3.79,281.34,137.51,39.52,28.74,29.57,26.53,2004-05-31,46.38,25.56,21.68
600320.SH,振华重工,专用设备,机械设备,专用设备,上海,5.33,-0.93,3.90,-1.48,280.78,362.6,49.82,13.74,7.32,2.77,2000-12-21,49.46,29.74,-3.98
